resolution,event,event_time,before_time,after_time,field,before,after,ratio,delta_log10_abs,leaf_count,max_level
n256,15,1.115366900326174,1.1148471189958231,1.117745213729071,C-norm2,0.00018949258173396125,0.0001896634038831567,1.0009014714329834,0.0003913277100511259,170,7
n256,15,1.115366900326174,1.1148471189958231,1.117745213729071,H-norm2,0.00010003407067206134,9.97826003541227e-05,0.9974861533050772,-0.0010931242977920697,170,7
n256,15,1.115366900326174,1.1148471189958231,1.117745213729071,M-norm2,2.3834912565352382e-05,2.382498154507651e-05,0.9995833414429929,-0.00018099022032735945,170,7
n256,15,1.115366900326174,1.1148471189958231,1.117745213729071,Z-norm2,1.4706376573328096e-05,1.4820706366396519e-05,1.0077741646624074,0.0033632205722673447,170,7
n512,15,1.115366900326174,1.114316529507488,1.1157632092327832,C-norm2,1.689274324593945e-05,1.6929364959263907e-05,1.002167896166495,0.0009404862720963081,170,7
n512,15,1.115366900326174,1.114316529507488,1.1157632092327832,H-norm2,7.940374959295402e-06,7.94989685886706e-06,1.001199175054134,0.0005204830960092721,170,7
n512,15,1.115366900326174,1.114316529507488,1.1157632092327832,M-norm2,2.8369614826941028e-06,2.8405949701928314e-06,1.0012807673001178,0.0005558742741840206,170,7
n512,15,1.115366900326174,1.114316529507488,1.1157632092327832,Z-norm2,1.516963925302417e-06,1.5228251133052173e-06,1.003863762285337,0.0016747772488221457,170,7
n128,16,1.2895869729883591,1.284688136997447,1.2912269759746045,C-norm2,0.03985096778228419,0.03993174790929258,1.00202705558996,0.0008794480130547289,167,7
n128,16,1.2895869729883591,1.284688136997447,1.2912269759746045,H-norm2,0.018211113839553112,0.018182217276774448,0.9984132457227354,-0.0006896659367574554,167,7
n128,16,1.2895869729883591,1.284688136997447,1.2912269759746045,M-norm2,0.0051128247590040135,0.005087383175151332,0.9950239671704223,-0.0021664582648255326,167,7
n128,16,1.2895869729883591,1.284688136997447,1.2912269759746045,Z-norm2,0.0038406669977827435,0.0038760326816485767,1.0092082140644452,0.003980776633829564,167,7
n256,16,1.2895869729883591,1.2887440757067934,1.2897264461075917,C-norm2,0.00020278820795045395,0.0002027733128729002,0.9999265486011032,-3.19007088194212e-05,167,7
n256,16,1.2895869729883591,1.2887440757067934,1.2897264461075917,H-norm2,8.702883388992103e-05,8.686014423201662e-05,0.9980616808204305,-0.000842618219452973,167,7
n256,16,1.2895869729883591,1.2887440757067934,1.2897264461075917,M-norm2,2.4703548056601238e-05,2.4731288571331535e-05,1.0011229364570116,0.00048741149193087807,167,7
n256,16,1.2895869729883591,1.2887440757067934,1.2897264461075917,Z-norm2,2.1403169506875182e-05,2.1436057724183333e-05,1.00153660500131,0.0006668268792813237,167,7
n512,16,1.2895869729883591,1.2895869729883591,1.2901907482562147,C-norm2,2.1814599094505126e-05,2.1833153925371522e-05,1.0008505694184895,0.0003692405947983701,167,7
n512,16,1.2895869729883591,1.2895869729883591,1.2901907482562147,H-norm2,9.149020721571357e-06,9.153167206741165e-06,1.000453216283578,0.00019678474140949476,167,7
n512,16,1.2895869729883591,1.2895869729883591,1.2901907482562147,M-norm2,3.2687809210148177e-06,3.2702994384476714e-06,1.0004645516079378,0.00020170535224028896,167,7
n512,16,1.2895869729883591,1.2895869729883591,1.2901907482562147,Z-norm2,2.3359821596648073e-06,2.3391970854368203e-06,1.001376262981595,0.0005972924969910309,167,7
n128,17,1.3433335424868391,1.3433335424868391,1.3495244727994695,C-norm2,0.04078464802932273,0.04091573906871173,1.003214225099963,0.0013936816192354762,164,7
n128,17,1.3433335424868391,1.3433335424868391,1.3495244727994695,H-norm2,0.018283389565021825,0.018302336927932903,1.001036315659287,0.00044983312801827324,164,7
n128,17,1.3433335424868391,1.3433335424868391,1.3495244727994695,M-norm2,0.004882639560656548,0.004875380620545511,0.9985133164099336,-0.0006461389006502394,164,7
n128,17,1.3433335424868391,1.3433335424868391,1.3495244727994695,Z-norm2,0.004126812221440408,0.004157902796283636,1.0075337992559246,0.003259624127415872,164,7
n256,17,1.3433335424868391,1.3412573815372313,1.3441607706213956,C-norm2,0.00020357467457541846,0.00020384851558865672,1.001345162475683,0.0005838040727588201,164,7
n256,17,1.3433335424868391,1.3412573815372313,1.3441607706213956,H-norm2,7.990732448652831e-05,7.981298278011047e-05,0.9988193609656678,-0.0005130479395720755,164,7
n256,17,1.3433335424868391,1.3412573815372313,1.3441607706213956,M-norm2,2.6127393100703582e-05,2.6149444612478344e-05,1.0008439996937226,0.00036638981500658474,164,7
n256,17,1.3433335424868391,1.3412573815372313,1.3441607706213956,Z-norm2,2.3091373267452537e-05,2.3180961388647357e-05,1.0038797225334837,0.001681681963246362,164,7
n512,17,1.3433335424868391,1.3428945308896758,1.343486145291909,C-norm2,2.350703014748265e-05,2.3526061316999768e-05,1.0008095948062226,0.0003514603058896171,164,7
n512,17,1.3433335424868391,1.3428945308896758,1.343486145291909,H-norm2,9.525414520981814e-06,9.529232048277015e-06,1.0004007728258746,0.00017401855814824785,164,7
