resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
n256,2.5002524330555738,1.5399355241846155,shell_12_16,C,7.814768405930621e-16,17051.94889515281,1.658403357540511e-17,3.819386588730822e-09,12.0,0.125,12.0,0.125
n256,2.5002524330555738,1.5399355241846155,shell_12_16,H,1.2459172295404273e-16,17051.94889515281,1.8582449698449717e-18,8.596317546682997e-10,15.375,-0.125,15.375,-0.125
n256,2.5002524330555738,1.5399355241846155,shell_12_16,M,7.400575167429493e-17,17051.94889515281,9.269306167802565e-19,9.039965583171838e-10,12.0,-0.875,12.0,-0.875
n256,2.5002524330555738,1.5399355241846155,shell_12_16,Z,7.693131252285245e-17,17051.94889515281,1.9754219286005064e-18,1.3181913875792443e-09,12.0,0.125,12.0,0.125
n256,2.5002524330555738,1.5399355241846155,shell_16_32,C,5.397384725753046e-15,164285.81379008392,1.1607685935691214e-17,2.0940379308301403e-09,17.0,-0.125,17.0,-0.125
n256,2.5002524330555738,1.5399355241846155,shell_16_32,H,3.9872162549954404e-15,164285.81379008392,1.1162840652172504e-17,2.053520686828847e-09,17.0,-0.125,17.0,-0.125
n256,2.5002524330555738,1.5399355241846155,shell_16_32,M,1.887270661169875e-17,164285.81379008392,1.5541747636801229e-19,2.44640391824136e-10,16.875,-0.25,16.875,0.0
n256,2.5002524330555738,1.5399355241846155,shell_16_32,Z,6.73861213150191e-17,164285.81379008392,2.7747955301921597e-19,2.063399975459932e-10,24.0,-0.25,24.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_32_64,C,6.179291200216458e-16,1125171.132413348,2.5247330582857166e-18,5.334928537071762e-10,33.0,0.25,23.875,23.875
n256,2.5002524330555738,1.5399355241846155,shell_32_64,H,3.9111401737410177e-16,1125171.132413348,2.433716185218846e-18,3.8466618779153805e-10,33.0,0.25,33.0,0.25
n256,2.5002524330555738,1.5399355241846155,shell_32_64,M,6.212023619729395e-18,1125171.132413348,1.1593875402762613e-19,1.9904655533759798e-10,23.625,-23.875,23.625,-23.875
n256,2.5002524330555738,1.5399355241846155,shell_32_64,Z,1.0665159277174004e-17,1125171.132413348,8.376247094871527e-20,4.6313277988373354e-11,48.0,0.5,23.75,-24.0
n256,2.5002524330555738,1.5399355241846155,shell_64_120,C,6.739097892553601e-17,6674475.477437659,7.099180856125128e-19,6.266318886954304e-11,120.0,0.0,47.75,47.75
n256,2.5002524330555738,1.5399355241846155,shell_64_120,H,3.1529714441256045e-17,6674475.477437659,1.716285310733329e-19,4.56190120401434e-11,65.5,-1.0,1.0,-65.0
n256,2.5002524330555738,1.5399355241846155,shell_64_120,M,5.104907459080205e-19,6674475.477437659,5.266601044646817e-21,1.58855308612765e-11,47.25,47.75,47.25,47.75
n256,2.5002524330555738,1.5399355241846155,shell_64_120,Z,1.2272474810053467e-18,6674475.477437659,1.8759607256256283e-20,7.586228820235291e-12,96.0,1.0,96.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_gt_120,C,3.3846650372540613e-09,6291771.425384919,3.257266906869297e-11,2.7599233470608166e-07,128.0,1.0,128.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_gt_120,H,2.640322264204239e-09,6291771.425384919,3.0005368845914454e-11,2.6489604465496086e-07,128.0,1.0,128.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_gt_120,M,5.421074721914298e-11,6291771.425384919,1.6488472023521887e-13,1.6526930515023763e-08,127.0,1.0,128.0,0.0
n256,2.5002524330555738,1.5399355241846155,shell_gt_120,Z,1.6284904104139617e-10,6291771.425384919,5.688682899758018e-13,3.646743345346654e-08,128.0,1.0,128.0,0.0
n256,2.7526262553674243,1.6954169867614353,R4,C,3.337195204000892e-06,1079.0858405498716,8.053793988618802e-08,0.00043759875932406823,3.9375,-0.125,4.0,0.0
n256,2.7526262553674243,1.6954169867614353,R4,H,1.1413678397375062e-06,1079.0858405498716,3.9879990185005906e-08,0.00030394605710171163,3.9375,-0.125,3.9375,0.0
