prescription,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,maxAbsKret,cycle,axisLapse,axisTau,axisKret,muMin,muMax
local_chi_gradient_norm,1.3218749999999957e+00,9.3749999999999997e-03,1.4378899933871392e-01,7.8981315469094482e-02,3.6889511957353821e-02,6.4246030108525854e-03,1.3721806476160175e-01,1.3909270002067709e+01,1.6800000000000000e+02,6.1589720180887453e-01,8.1413252614162079e-01,5.6172422898608226e-04,2.9522098963524860e-04,1.1544295439928870e-01
local_chi_gradient_norm,1.3593749999999953e+00,9.3749999999999997e-03,1.3332923878114944e-01,6.9500446186647802e-02,3.6090537811152977e-02,6.3758028841561284e-03,1.3019068262128347e-01,1.3093102728603924e+01,1.7200000000000000e+02,6.1589900615515258e-01,8.3722870458206711e-01,5.6112954794788721e-04,2.9513757610825242e-04,1.1498636768780578e-01
local_chi_gradient_norm,1.3968749999999950e+00,9.3749999999999997e-03,1.3071607014277159e-01,6.8826705610225081e-02,3.4421582629471328e-02,6.3056129485829105e-03,1.2454118623692377e-01,1.2437976925429664e+01,1.7600000000000000e+02,6.1590097454089809e-01,8.6032495371925144e-01,5.6043966723416335e-04,2.9500315819806783e-04,1.1447162856061983e-01
local_chi_gradient_norm,1.4343749999999946e+00,9.3749999999999997e-03,1.3567581931537367e-01,7.6116803934538874e-02,3.2245303960840986e-02,6.2671587688090356e-03,1.1890977896113580e-01,1.1920680424806884e+01,1.8000000000000000e+02,6.1590311915071405e-01,8.8342127994620590e-01,5.5987740371342930e-04,2.9489142041097863e-04,1.1365688140713767e-01
local_chi_gradient_norm,1.4718749999999943e+00,9.3749999999999997e-03,1.4358377968088309e-01,8.5894670935583339e-02,3.0268321977842322e-02,6.2960507029657942e-03,1.2760766495969594e-01,1.1357988518005911e+01,1.8400000000000000e+02,6.1590544735136710e-01,9.0651769002393556e-01,5.5979564956173608e-04,2.9485145288443622e-04,1.1346678728724592e-01
local_chi_gradient_norm,1.5093749999999939e+00,9.3749999999999997e-03,1.4908431831433322e-01,9.2024078059523340e-02,2.9204187890636349e-02,6.4069113882504886e-03,1.5104956595393726e-01,1.0749905709356728e+01,1.8800000000000000e+02,6.1590796207311849e-01,9.2961419090294861e-01,5.5986648555759718e-04,2.9011876661755136e-04,1.1333251417193421e-01
local_chi_gradient_norm,1.5468749999999936e+00,9.3749999999999997e-03,1.4909995117278982e-01,9.1264170458572574e-02,2.9378721997208593e-02,6.5565788093250432e-03,1.7422894195577762e-01,1.0946455620188399e+01,1.9200000000000000e+02,6.1591066371818692e-01,9.5271078958886157e-01,5.5961170738272575e-04,2.6936812686033699e-04,1.1285832239849143e-01
local_chi_gradient_norm,1.5843749999999932e+00,9.3749999999999997e-03,1.4414928624363890e-01,8.4533719455177653e-02,3.0529105264399253e-02,6.7092586709310686e-03,1.9676799414840751e-01,1.1387459430379476e+01,1.9600000000000000e+02,6.1591355299595696e-01,9.7580749309924697e-01,5.5918606396955462e-04,2.6173123560988313e-04,1.1218007806629987e-01
local_chi_gradient_norm,1.6218749999999929e+00,9.3749999999999997e-03,1.3728154864857037e-01,7.5684923820061742e-02,3.1926384721489183e-02,6.8471042975184254e-03,2.1831951364242663e-01,1.1614196788490363e+01,2.0000000000000000e+02,6.1591663380594497e-01,9.9890430853044665e-01,5.5879161775973475e-04,2.5990384898382402e-04,1.1193792117505008e-01
local_chi_gradient_norm,1.6593749999999925e+00,9.3749999999999997e-03,1.3200056552615488e-01,6.9129111156589207e-02,3.2755445600243786e-02,6.9492605137512209e-03,2.3861363027545882e-01,1.1649383321876931e+01,2.0400000000000000e+02,6.1591991526925205e-01,1.0220012432189471e+00,5.5850382499020009e-04,2.6532299047778602e-04,1.1141584051292981e-01
local_chi_gradient_norm,1.6968749999999921e+00,9.3749999999999997e-03,1.3079079769476742e-01,6.7839007042394955e-02,3.2536348979234006e-02,7.0155791951226005e-03,2.5749110189544300e-01,1.1531257526977688e+01,2.0800000000000000e+02,6.1592341224757685e-01,1.0450983049519551e+00,5.5864647897792925e-04,2.7278979552099728e-04,1.1041636633578963e-01
local_chi_gradient_norm,1.7343749999999918e+00,9.3749999999999997e-03,1.3418909848598115e-01,7.2243726809899600e-02,3.1360187195506185e-02,7.0501099649354759e-03,2.7491817192591267e-01,1.1305925782384534e+01,2.1200000000000000e+02,6.1592714411872018e-01,1.0681955021646956e+00,5.5902866142401673e-04,2.7666490851947751e-04,1.0987986578101615e-01
