resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n512,28.770419980232795,11.00629606253235,11092,C,0.15105201193500584,0.23679219295320172,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.770419980232795,11.00629606253235,11092,H,0.11167892444817643,0.21297883443829968,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.770419980232795,11.00629606253235,11092,M,0.029354682899479595,0.10158919057025749,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.770419980232795,11.00629606253235,11092,Z,0.002460835365743916,0.014479622522243541,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.780570651320357,11.008506726501782,11096,C,0.15038558597747062,0.23658339136781492,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.780570651320357,11.008506726501782,11096,H,0.11112413630156837,0.21278688496226894,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.780570651320357,11.008506726501782,11096,M,0.029235196755677383,0.10167570512399846,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.780570651320357,11.008506726501782,11096,Z,0.0024627212211559214,0.014354408832197378,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.790720015463524,11.010717963634198,11100,C,0.14972432426340743,0.2360181965914837,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.790720015463524,11.010717963634198,11100,H,0.11057351261638954,0.21227048374357294,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.790720015463524,11.010717963634198,11100,M,0.029116701557565045,0.10160818954466352,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.790720015463524,11.010717963634198,11100,Z,0.0024646092790784565,0.014209260336315697,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.800868070393506,11.01292977949169,11104,C,0.1490681841893948,0.23509742282447968,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.800868070393506,11.01292977949169,11104,H,0.11002702033447466,0.2114303125740209,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.800868070393506,11.01292977949169,11104,M,0.028999187831812163,0.10138687470429845,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.800868070393506,11.01292977949169,11104,Z,0.0024664995205682227,0.014044405518910454,0.5625,0.0,same_level_seam,0.03125,7,18.0,4078.0,0.0,110.0
n512,28.811014813827708,11.01514217988295,11108,C,0.14841712317028657,0.23382258525797064,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
n512,28.811014813827708,11.01514217988295,11108,H,0.10948462619710317,0.21026767908470734,0.53125,0.0,same_level_seam,0.03125,7,17.0,4079.0,0.0,111.0
