family,gid,i,j,rho,z,region,difference,absolute_difference
C,28,2,6,5.0390625,-0.8984375,COARSE_FINE_INTERFACE,3.178343511602011e-05,3.178343511602011e-05
C,28,3,6,5.0546875,-0.8984375,COARSE_FINE_INTERFACE,3.411697699671253e-05,3.411697699671253e-05
C,28,4,6,5.0703125,-0.8984375,INTERIOR,1.0932598103959978e-05,1.0932598103959978e-05
C,28,5,6,5.0859375,-0.8984375,INTERIOR,1.5313281889407955e-05,1.5313281889407955e-05
C,28,6,6,5.1015625,-0.8984375,INTERIOR,-4.965541757205073e-06,4.965541757205073e-06
C,28,7,6,5.1171875,-0.8984375,INTERIOR,-7.1533403455670275e-06,7.1533403455670275e-06
C,28,8,6,5.1328125,-0.8984375,INTERIOR,-2.1441503858738234e-05,2.1441503858738234e-05
C,28,9,6,5.1484375,-0.8984375,INTERIOR,-2.19512524045843e-05,2.19512524045843e-05
C,28,10,6,5.1640625,-0.8984375,INTERIOR,-1.1047321713178807e-05,1.1047321713178807e-05
C,28,11,6,5.1796875,-0.8984375,INTERIOR,-2.0034686936505446e-05,2.0034686936505446e-05
C,28,12,6,5.1953125,-0.8984375,INTERIOR,-4.73703861240439e-06,4.73703861240439e-06
C,28,13,6,5.2109375,-0.8984375,INTERIOR,-1.5681616323810592e-05,1.5681616323810592e-05
C,28,14,6,5.2265625,-0.8984375,INTERIOR,-1.4046896327039263e-05,1.4046896327039263e-05
C,28,15,6,5.2421875,-0.8984375,INTERIOR,-1.4949367143824235e-05,1.4949367143824235e-05
C,28,16,6,5.2578125,-0.8984375,INTERIOR,-4.5254247234899e-06,4.5254247234899e-06
C,28,17,6,5.2734375,-0.8984375,INTERIOR,2.6369141186430647e-06,2.6369141186430647e-06
C,28,18,6,5.2890625,-0.8984375,INTERIOR,1.2071474148091232e-05,1.2071474148091232e-05
C,28,19,6,5.3046875,-0.8984375,INTERIOR,1.7555127458066064e-05,1.7555127458066064e-05
C,28,20,6,5.3203125,-0.8984375,INTERIOR,8.708557146717717e-06,8.708557146717717e-06
C,28,21,6,5.3359375,-0.8984375,INTERIOR,2.253676521702698e-05,2.253676521702698e-05
C,28,22,6,5.3515625,-0.8984375,INTERIOR,4.860558781510406e-06,4.860558781510406e-06
C,28,23,6,5.3671875,-0.8984375,INTERIOR,-2.645669693915678e-06,2.645669693915678e-06
C,28,24,6,5.3828125,-0.8984375,INTERIOR,-5.885115034931845e-06,5.885115034931845e-06
C,28,25,6,5.3984375,-0.8984375,INTERIOR,7.057489501000047e-07,7.057489501000047e-07
C,28,26,6,5.4140625,-0.8984375,INTERIOR,1.0141077215403312e-05,1.0141077215403312e-05
C,28,27,6,5.4296875,-0.8984375,INTERIOR,1.9639219198241704e-05,1.9639219198241704e-05
C,28,28,6,5.4453125,-0.8984375,MESHBLOCK_EDGE_OR_CORNER,2.905734379720238e-05,2.905734379720238e-05
C,28,29,6,5.4609375,-0.8984375,MESHBLOCK_EDGE_OR_CORNER,4.208616034809135e-05,4.208616034809135e-05
C,28,30,6,5.4765625,-0.8984375,MESHBLOCK_EDGE_OR_CORNER,4.276263861061015e-05,4.276263861061015e-05
C,28,31,6,5.4921875,-0.8984375,MESHBLOCK_EDGE_OR_CORNER,2.963977381474246e-05,2.963977381474246e-05
C,28,0,7,5.0078125,-0.8828125,COARSE_FINE_INTERFACE,4.686308956003936e-05,4.686308956003936e-05
C,28,1,7,5.0234375,-0.8828125,COARSE_FINE_INTERFACE,2.815622531542831e-05,2.815622531542831e-05
C,28,2,7,5.0390625,-0.8828125,COARSE_FINE_INTERFACE,5.564518538502764e-05,5.564518538502764e-05
C,28,3,7,5.0546875,-0.8828125,COARSE_FINE_INTERFACE,4.882613579490361e-05,4.882613579490361e-05
C,28,4,7,5.0703125,-0.8828125,INTERIOR,3.121184215247163e-05,3.121184215247163e-05
C,28,5,7,5.0859375,-0.8828125,INTERIOR,2.6034149868229238e-05,2.6034149868229238e-05
C,28,6,7,5.1015625,-0.8828125,INTERIOR,4.609742572370384e-06,4.609742572370384e-06
C,28,7,7,5.1171875,-0.8828125,INTERIOR,-5.528982567919692e-06,5.528982567919692e-06
C,28,8,7,5.1328125,-0.8828125,INTERIOR,-3.155823642713232e-05,3.155823642713232e-05
C,28,9,7,5.1484375,-0.8828125,INTERIOR,-3.446039885986966e-05,3.446039885986966e-05
C,28,10,7,5.1640625,-0.8828125,INTERIOR,-3.611306351664501e-05,3.611306351664501e-05
C,28,11,7,5.1796875,-0.8828125,INTERIOR,-3.7479888820407016e-05,3.7479888820407016e-05
C,28,12,7,5.1953125,-0.8828125,INTERIOR,-1.6562438185851232e-05,1.6562438185851232e-05
C,28,13,7,5.2109375,-0.8828125,INTERIOR,-1.875699996733071e-05,1.875699996733071e-05
C,28,14,7,5.2265625,-0.8828125,INTERIOR,-1.88514570047091e-05,1.88514570047091e-05
